id,kode,nama_bahan,sumber,air_gram,energi_kal,protein_gram,lemak_gram,karbohidrat_gram,serat_gram,abu_gram,kalsium_mg,fosfor_mg,zatbesi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,bkaroten_mcg,karotentotal_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitc_mg,bdd,jenis_pangan,satuan,gambar
2371,FatSecretIndo,Tumis Oatmeal Dengan Sayur,FatSecretIndo,0,1142,7.1,0.5,59.94,19.9,0,0,0,0,2441,605,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/885bc0b8-43e2-4fb5-a3df-80f288546edb.jpg
2372,FatSecretIndo,Sup Pembakar Lemak,FatSecretIndo,0,202,2.27,0.85,9.66,3.1,0,0,0,0,60,445,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/a5f44f92-c03d-41e4-8283-1543f3a565c9.jpg
2373,FatSecretIndo,Tumis Jamur Daging Brokoli,FatSecretIndo,0,332,8.39,2.11,7.38,1.7,0,0,0,0,881,287,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/2dbe28b4-3cc3-4b27-9af4-eee3c178fcad.jpg
2374,FatSecretIndo,Kimchi Jiggae,FatSecretIndo,0,879,26.12,5.72,17.03,5,0,0,0,0,657,746,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/ad0a84ed-9643-45d5-b50c-452542def1ab.jpg
2375,FatSecretIndo,Bakso Kentang Fettuccine,FatSecretIndo,0,1435,11.64,7.65,60.41,8.9,0,0,0,0,1054,564,0,0,0,0,0,0,0,0,0,100,umbi berpati,olahan/produk,https://m.ftscrt.com/static/recipe/790ff7ca-0a72-4792-89bd-ecc6a652a4b0.jpg
2376,FatSecretIndo,Healthy Oatmeal Bar,FatSecretIndo,0,393,2.84,3.51,13.67,2,0,0,0,0,17,46,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/6b13981a-a595-4373-81c2-4e373439614e.jpg
2377,FatSecretIndo,Oseng Cabe Tahu Tempe,FatSecretIndo,0,1382,14.3,18.81,40.29,13.5,0,0,0,0,103,1099,0,0,0,0,0,0,0,0,0,100,kacang biji bean,olahan/produk,https://m.ftscrt.com/static/recipe/cea1375a-fe97-474b-bfd1-06c7d4fd2b13.jpg
2378,FatSecretIndo,Smoothie Buah Naga,FatSecretIndo,0,577,3.43,5.5,20.28,5.1,0,0,0,0,33,153,0,0,0,0,0,0,0,0,0,100,buah,olahan/produk,https://m.ftscrt.com/static/recipe/d83418c1-ac84-42fa-a9a6-fc4b77004761.jpg
2379,FatSecretIndo,Teriyaki Beef,FatSecretIndo,0,1531,26.71,20.94,15.14,0.4,0,0,0,0,1603,447,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/a4c414f5-e832-435f-8e53-8a28a7c2f037.jpg
2380,FatSecretIndo,Tumis Sayur dengan Telur,FatSecretIndo,0,1586,13.47,20.92,38.57,6.1,0,0,0,0,1954,885,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/4f548523-4d8b-4d36-b03f-0c5735169f9e.jpg
2381,FatSecretIndo,Pancake Pisang,FatSecretIndo,0,212,1.35,0.33,10.89,0.7,0,0,0,0,5,97,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/8f394150-c0ef-468d-bd73-675792cdc67b.jpg
